algoritmo,tiempo,memoria
MedicionBuscarTrie,8097700,0
algoritmo,tiempo,memoria
MedicionBuscarTrie,4282100,0
algoritmo,tiempo,memoria
MedicionBuscarTrie,6614000,0
algoritmo,tiempo,memoria
MedicionBuscarTrie,68800,2102
algoritmo,tiempo,memoria
MedicionBuscarTrie,4723900,2102
algoritmo,tiempo,memoria
MedicionBuscarTrie,7188000,2102
algoritmo,tiempo,memoria
MedicionBuscarTrie,6951400,2102
algoritmo,tiempo,memoria
MedicionBuscarTrie,6931300,2102
